mq2_now,mq135_now,mq2_delta,mq135_delta,mq2_mean_window,mq135_mean_window,mq2_max_window,mq135_max_window,label
0.92,0.66,0.0,-0.010000000000000009,0.9198333333333334,0.6638333333333333,0.93,0.68,SAFE
0.92,0.67,0.0,0.010000000000000009,0.9206666666666667,0.6646666666666668,0.94,0.68,SAFE
0.92,0.66,0.010000000000000009,0.0,0.9216666666666666,0.6658333333333333,0.94,0.68,SAFE
0.92,0.66,-0.010000000000000009,0.0,0.9218333333333334,0.6656666666666667,0.93,0.68,SAFE
0.91,0.66,-0.020000000000000018,-0.010000000000000009,0.9218333333333334,0.6655,0.94,0.68,SAFE
0.91,0.66,-0.010000000000000009,0.0,0.923,0.6655,0.94,0.68,SAFE
0.91,0.66,-0.010000000000000009,-0.010000000000000009,0.9224999999999999,0.6655,0.94,0.68,SAFE
0.92,0.66,0.010000000000000009,0.0,0.9198333333333332,0.6648333333333334,0.93,0.67,SAFE
0.92,0.66,0.0,-0.010000000000000009,0.9198333333333334,0.6646666666666666,0.94,0.67,SAFE
0.92,0.67,-0.019999999999999907,0.0,0.9208333333333335,0.6649999999999999,0.94,0.68,SAFE
0.93,0.67,0.0,0.0,0.9205,0.6651666666666666,0.94,0.68,SAFE
0.92,0.66,0.0,0.0,0.9191666666666668,0.6648333333333334,0.94,0.69,SAFE
0.92,0.66,0.010000000000000009,0.0,0.9191666666666668,0.6644999999999999,0.93,0.69,SAFE
0.92,0.66,-0.010000000000000009,-0.010000000000000009,0.9205000000000001,0.6645000000000001,0.93,0.68,SAFE
0.92,0.66,0.0,-0.010000000000000009,0.9191666666666668,0.664,0.93,0.68,SAFE
0.91,0.66,0.0,-0.010000000000000009,0.917,0.6639999999999999,0.93,0.68,SAFE
0.92,0.67,0.010000000000000009,0.010000000000000009,0.9171666666666667,0.6638333333333332,0.93,0.68,SAFE
0.92,0.66,0.010000000000000009,0.0,0.9166666666666666,0.6629999999999999,0.93,0.67,SAFE
0.91,0.65,0.0,-0.010000000000000009,0.9154999999999999,0.6624999999999999,0.93,0.67,SAFE
0.91,0.66,-0.010000000000000009,0.0,0.9139999999999999,0.6626666666666665,0.93,0.67,SAFE
0.92,0.67,0.010000000000000009,0.010000000000000009,0.9135000000000002,0.663,0.93,0.67,SAFE
0.92,0.66,-0.010000000000000009,-0.010000000000000009,0.9155,0.6629999999999999,0.93,0.67,SAFE
0.92,0.67,0.0,0.0,0.9159999999999999,0.6635000000000001,0.93,0.67,SAFE
0.92,0.67,-0.010000000000000009,0.010000000000000009,0.9143333333333334,0.6628333333333333,0.93,0.67,SAFE
0.91,0.66,-0.010000000000000009,0.0,0.9146666666666666,0.6624999999999999,0.93,0.68,SAFE
0.91,0.67,0.0,0.020000000000000018,0.9149999999999999,0.6636666666666666,0.93,0.68,SAFE
0.93,0.66,0.010000000000000009,-0.010000000000000009,0.9155,0.6628333333333333,0.93,0.67,SAFE
0.91,0.66,-0.020000000000000018,0.0,0.9166666666666665,0.6619999999999997,0.93,0.67,SAFE
0.92,0.66,0.010000000000000009,0.0,0.9165,0.6621666666666666,0.93,0.67,SAFE
0.93,0.67,0.020000000000000018,0.010000000000000009,0.9168333333333334,0.6629999999999998,0.93,0.67,SAFE
1.36,0.82,-0.09999999999999987,-0.040000000000000036,1.397333333333333,0.8379999999999999,1.46,0.86,SAFE
1.32,0.81,-0.05999999999999983,-0.029999999999999916,1.3589999999999998,0.8240000000000001,1.4,0.85,SAFE
1.27,0.81,-0.08000000000000007,-0.009999999999999898,1.3158333333333332,0.8155,1.36,0.85,SAFE
1.3,0.85,-0.020000000000000018,0.030000000000000027,1.2880000000000003,0.8218333333333335,1.32,0.85,SAFE
